"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\algorithms\haversine.dart", "Dart", 40, 6, 11, 57
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\algorithms\icon_for_string.dart", "Dart", 81, 16, 15, 112
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart", "Dart", 136, 35, 6, 177
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_enum.dart", "Dart", 27, 0, 3, 30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_gate.dart", "Dart", 32, 1, 7, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\firebase_options.dart", "Dart", 71, 12, 7, 90
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart", "Dart", 48, 0, 4, 52
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart", "Dart", 78, 15, 26, 119
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart", "Dart", 48, 1, 2, 51
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_range_slider.dart", "Dart", 139, 0, 12, 151
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_slider.dart", "Dart", 118, 3, 10, 131
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_text.dart", "Dart", 25, 0, 4, 29
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading.dart", "Dart", 52, 0, 3, 55
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_admin.dart", "Dart", 39, 0, 3, 42
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_image.dart", "Dart", 15, 0, 3, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\data\firebase_admin_repo.dart", "Dart", 194, 29, 34, 257
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\domain\repos\admin_repo.dart", "Dart", 27, 1, 20, 48
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_app_bar.dart", "Dart", 47, 0, 5, 52
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_button.dart", "Dart", 50, 1, 4, 55
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card.dart", "Dart", 79, 0, 4, 83
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card_dashboard.dart", "Dart", 80, 0, 4, 84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card_events.dart", "Dart", 80, 0, 4, 84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_confirmation_display_row.dart", "Dart", 125, 1, 5, 131
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_divider.dart", "Dart", 36, 0, 3, 39
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_error_card.dart", "Dart", 42, 0, 4, 46
