"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart", "Dart", 29, 11, 0, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart", "Dart", 6, 0, 0, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart", "Dart", 18, -1, 8, 25
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart", "Dart", 16, 0, 0, 16
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading.dart", "Dart", 13, 0, 0, 13
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_admin.dart", "Dart", 3, 0, 0, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\data\firebase_admin_repo.dart", "Dart", 104, 15, 17, 136
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\domain\repos\admin_repo.dart", "Dart", 17, 0, 12, 29
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_app_bar.dart", "Dart", 47, 0, 5, 52
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_button.dart", "Dart", 39, -45, 1, -5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card.dart", "Dart", -19, -1, 0, -20
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card_dashboard.dart", "Dart", 80, 0, 4, 84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card_events.dart", "Dart", 80, 0, 4, 84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_divider.dart", "Dart", 36, 0, 3, 39
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_error_card.dart", "Dart", 42, 0, 4, 46
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_events_card.dart", "Dart", 131, 3, 4, 138
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_loading_card.dart", "Dart", 29, 0, 3, 32
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_sub_app_bar.dart", "Dart", 35, 0, 5, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_users_card.dart", "Dart", 96, 1, 4, 101
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\approved venues\admin_approved_venue_summary.dart", "Dart", 12, 0, -1, 11
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\approved venues\admin_approved_venues_bar.dart", "Dart", 17, 0, 0, 17
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\dialogs\admin_actions_dialog.dart", "Dart", 6, 0, 0, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\events_jo_logo_admin.dart", "Dart", 65, 0, 3, 68
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\menu_tab_bar.dart", "Dart", 31, 2, 0, 33
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\no_requests_left.dart", "Dart", 4, 0, 1, 5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\owners\admin_owner_summary.dart", "Dart", 94, 8, 13, 115
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\tab_item.dart", "Dart", 23, -22, 0, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\unapproved venues\admin_unapproved_venue_summary.dart", "Dart", 12, 0, -2, 10
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\unapproved venues\admin_upapproved_venues_bar.dart", "Dart", 17, 0, 0, 17
