"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\algorithms\icon_for_string.dart", "Dart", 30, 1, 1, 32
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart", "Dart", 26, 5, 0, 31
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_enum.dart", "Dart", 27, 0, 3, 30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_gate.dart", "Dart", 32, 1, 7, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart", "Dart", 6, 0, 0, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart", "Dart", 10, 5, 2, 17
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart", "Dart", 2, 0, 0, 2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_range_slider.dart", "Dart", 139, 0, 12, 151
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_slider.dart", "Dart", 118, 3, 10, 131
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_text.dart", "Dart", 25, 0, 4, 29
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient_slider.dart", "Dart", -118, -3, -10, -131
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient_text.dart", "Dart", -25, 0, -4, -29
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\image_loading_indicator.dart", "Dart", -15, 0, -3, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading.dart", "Dart", 39, 0, 3, 42
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_admin.dart", "Dart", 36, 0, 3, 39
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_image.dart", "Dart", 15, 0, 3, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading_indicator.dart", "Dart", -39, 0, -3, -42
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\data\firebase_admin_repo.dart", "Dart", 90, 14, 17, 121
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\domain\repos\admin_repo.dart", "Dart", 10, 1, 8, 19
