"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\admin_page_for_venues.dart", "Dart", -3, 0, 0, 0, -3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\courts\approved\admin_approved_courts_details_page.dart", "Dart", 100, 0, 11, 17, 128
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\courts\approved\admin_approved_courts_page.dart", "Dart", 99, 0, 6, 11, 116
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\courts\unapproved\admin_unapproved_courts_details_page.dart", "Dart", 113, 0, 18, 24, 155
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\courts\unapproved\admin_unapproved_courts_page.dart", "Dart", 117, 0, 7, 15, 139
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\owners\admin_owners_list_page.dart", "Dart", -6, 0, 0, 0, -6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\users\admin_user_details_page.dart", "Dart", 2, 0, 0, 0, 2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\users\admin_users_list_page.dart", "Dart", -6, 0, 0, 0, -6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venue_details.dart", "Dart", -128, 0, -13, -17, -158
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venue_details_page.dart", "Dart", 131, 0, 13, 17, 161
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venues.dart", "Dart", -105, 0, -7, -8, -120
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venues_page.dart", "Dart", 98, 0, 7, 10, 115
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venue_details.dart", "Dart", -142, 0, -20, -25, -187
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venue_details_page.dart", "Dart", 144, 0, 20, 25, 189
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venues.dart", "Dart", -121, 0, -8, -13, -142
