"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\string similarity\rating.dart", "Dart", 7, 0, 3, 4, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\string similarity\string_similarity.dart", "Dart", 65, 0, 30, 12, 107
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\theme\eventsjo_theme.dart", "Dart", 144, 0, 3, 10, 157
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\theme\themes\app_icon_button_theme.dart", "Dart", 15, 0, 0, 2, 17
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\constants.dart", "Dart", 10, 0, 0, 6, 16
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart", "Dart", 74, 0, 0, 4, 78
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\delay.dart", "Dart", 14, 0, 0, 4, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\dummy.dart", "Dart", 62, 0, 1, 4, 67
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\endpoints.dart", "Dart", 8, 0, 3, 8, 19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\expandable.dart", "Dart", 238, 0, 2, 24, 264
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart", "Dart", 79, 0, 6, 25, 110
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart", "Dart", 64, 0, 2, 2, 68
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_icon.dart", "Dart", 70, 0, 8, 12, 90
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_range_slider.dart", "Dart", 139, 0, 0, 12, 151
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_slider.dart", "Dart", 118, 0, 3, 10, 131
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_text.dart", "Dart", 25, 0, 0, 4, 29
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\identical_objects.dart", "Dart", 110, 0, 7, 13, 130
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading.dart", "Dart", 56, 0, 0, 3, 59
