"filename", "language", "Todo", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\unapproved venues\admin_unapproved_venue_summary.dart", "Dart", 0, 15, 1, 3, 19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\users\admin_user_summary.dart", "Dart", 0, -7, -1, -2, -10
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\single venue\admin_single_venue_cubit.dart", "Dart", 0, -75, -2, -9, -86
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\venues\approve\admin_approve_cubit.dart", "Dart", 0, 3, 0, 4, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\venues\unapprove\admin_unapprove_cubit.dart", "Dart", 0, -6, 0, 3, -3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\admin_page_for_venues.dart", "Dart", 0, 9, -1, 5, 13
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\owners\admin_owner_details_page.dart", "Dart", 0, -14, -2, -2, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\owners\admin_owners_list_page.dart", "Dart", 0, 7, 0, 0, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\users\admin_user_details_page.dart", "Dart", 0, -14, -2, -2, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\users\admin_users_list_page.dart", "Dart", 0, 7, 0, 0, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venue_details.dart", "Dart", 0, -4, 0, 0, -4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venues.dart", "Dart", 0, 3, 0, 0, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venue_details.dart", "Dart", 0, 4, 6, 8, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venues.dart", "Dart", 0, 7, 0, 0, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\data\firebase_auth_repo.dart", "Dart", 0, 9, 0, 0, 9
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\domain\entities\app_user.dart", "Dart", 0, 0, 0, -2, -2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\domain\entities\user_manager.dart", "Dart", 0, 13, 0, 6, 19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\domain\repos\auth_repo.dart", "Dart", 0, 6, -2, -1, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\auth_button.dart", "Dart", 0, 0, -1, 1, 0
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\auth_text_field.dart", "Dart", 0, 8, 0, 3, 11
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\change_user_type_row.dart", "Dart", 0, 30, 0, 0, 30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\cubits\auth_cubit.dart", "Dart", 0, 96, 15, 20, 131
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\cubits\auth_states.dart", "Dart", 0, 0, 0, -1, -1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\login_page.dart", "Dart", 0, 1, 0, 1, 2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\register_page.dart", "Dart", 0, -26, -4, -5, -35
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\user_type_gate.dart", "Dart", 0, 31, 1, 7, 39
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\app_bar_button.dart", "Dart", 0, 50, 0, 3, 53
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\appbar_button.dart", "Dart", 0, -50, 0, -3, -53
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\events_jo_logo.dart", "Dart", 0, -1, 0, 0, -1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\home_app_bar.dart", "Dart", 0, 46, 0, 5, 51
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\home_card.dart", "Dart", 0, 0, 0, 1, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\owner_button.dart", "Dart", 0, -70, 0, -4, -74
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page.dart", "Dart", 0, 11, 2, 5, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page_for_admins.dart", "Dart", 0, 4, 1, 2, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page_for_owners.dart", "Dart", 0, 10, -12, 3, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\domain\entities\ej_location.dart", "Dart", 0, 28, 29, 4, 61
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\domain\entities\user_location.dart", "Dart", 0, -15, -29, -4, -48
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\cubits\location_cubit.dart", "Dart", 0, 32, 7, 5, 44
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\navigation\presentation\global_navigation_bar.dart", "Dart", 0, -10, 0, -2, -12
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\navigation\presentation\global_navigation_bar_for_admins.dart", "Dart", 0, -2, -1, -2, -5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\navigation\presentation\global_navigation_bar_for_owners.dart", "Dart", 0, -10, 0, -2, -12
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\data\firebase_owner_repo.dart", "Dart", 0, 1, -1, 1, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\domain\repo\owner_repo.dart", "Dart", 0, 1, 0, 1, 2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\date_picker.dart", "Dart", 0, -44, -5, -3, -52
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\dialogs\food_on_tap_dialog.dart", "Dart", 0, 70, 7, 4, 81
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\food_card.dart", "Dart", 0, 55, 2, 4, 61
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_app_bar.dart", "Dart", 0, 12, 2, 1, 15
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_button.dart", "Dart", 0, 70, 0, 4, 74
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_drink_card.dart", "Dart", 0, 0, -1, 0, -1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_meal_card.dart", "Dart", 0, 0, -1, 0, -1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_page_bar.dart", "Dart", 0, -2, 0, 0, -2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_page_bar_handler.dart", "Dart", 0, -43, -2, -4, -49
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_page_navigation_bar.dart", "Dart", 0, 1, 0, 0, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\time_picker.dart", "Dart", 0, -35, -1, -3, -39
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\cubits\owner_cubit.dart", "Dart", 0, 0, 0, -1, -1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\owner_page.dart", "Dart", 0, 13, 9, 10, 32
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\confirm_and_add_event_to_database_page.dart", "Dart", 0, -163, -15, -23, -201
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\confirm_event_page.dart", "Dart", 0, 177, 14, 27, 218
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\event_added_successfully_page.dart", "Dart", 0, 4, 0, 0, 4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_drinks.dart", "Dart", 0, -137, -6, -11, -154
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_drinks_page.dart", "Dart", 0, 214, 6, 15, 235
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_location_page.dart", "Dart", 0, 4, 0, 3, 7
