"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\alogrithms\haversine.dart", "Dart", 40, 6, 11, 57
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart", "Dart", 1, 1, 0, 2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\custom_icons_icons.dart", "Dart", -26, 0, -4, -30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\haversine.dart", "Dart", -40, -6, -11, -57
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\image_loading_indicator.dart", "Dart", -15, 0, -3, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\loading_indicator.dart", "Dart", -15, 0, -3, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\my_colors.dart", "Dart", -45, -10, -15, -70
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart", "Dart", 28, 15, 4, 47
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart", "Dart", 50, 11, 16, 77
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart", "Dart", 30, 1, 2, 33
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\image_loading_indicator.dart", "Dart", 15, 0, 3, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading_indicator.dart", "Dart", 39, 0, 3, 42
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\data\firebase_auth_repo.dart", "Dart", 6, 0, 2, 8
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\auth_text_field.dart", "Dart", 8, 1, 1, 10
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\login_page.dart", "Dart", -4, 0, 0, -4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\register_page.dart", "Dart", -7, 2, 1, -4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\home_card_temp.dart", "Dart", -88, -9, -4, -101
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\owner_button.dart", "Dart", 73, 0, 4, 77
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page.dart", "Dart", -62, -93, 1, -154
