"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\data\firebase_owner_repo.dart", "Dart", 35, 10, 9, 54
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\domain\repo\owner_repo.dart", "Dart", 3, 0, 3, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\date_picker.dart", "Dart", 0, 1, 0, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\confirm_and_add_event_to_database.dart", "Dart", -116, -8, -22, -146
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\confirm_and_add_event_to_database_page.dart", "Dart", 116, 9, 22, 147
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\event_added_successfully.dart", "Dart", -59, 0, -3, -62
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\event_added_successfully_page.dart", "Dart", 59, 1, 3, 63
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_event_location.dart", "Dart", -59, 0, -4, -63
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_event_location_page.dart", "Dart", 59, 5, 8, 72
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_event_name.dart", "Dart", -69, 0, -4, -73
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_event_name_page.dart", "Dart", 69, 4, 9, 82
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_event_type.dart", "Dart", -159, 0, -5, -164
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_event_type_page.dart", "Dart", 159, 11, 15, 185
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_images.dart", "Dart", -77, 0, -4, -81
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_images_page.dart", "Dart", 86, 7, 10, 103
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_range_date.dart", "Dart", -67, 0, -4, -71
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_range_date_page.dart", "Dart", 67, 5, 10, 82
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_range_time.dart", "Dart", -84, -1, -7, -92
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\sub pages\select_range_time_page.dart", "Dart", 82, 6, 14, 102
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\time_picker.dart", "Dart", 6, -1, 0, 5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\cubits\owner_cubit.dart", "Dart", 5, 2, 1, 8
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\owner_page.dart", "Dart", -81, 5, -5, -81
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\data\firebase_wedding_venue_repo.dart", "Dart", 15, 6, 4, 25
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\entities\wedding_venue.dart", "Dart", 4, 0, 0, 4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\entities\wedding_venue_meal.dart", "Dart", 30, 2, 4, 36
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\repo\wedding_venue_repo.dart", "Dart", 2, 0, 1, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\meal_card.dart", "Dart", 112, 0, 4, 116
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_date_picker.dart", "Dart", 49, 0, 4, 53
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_image_slider.dart", "Dart", 33, 0, 4, 37
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_name_rating_and_location.dart", "Dart", 65, 3, 6, 74
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_people_slider.dart", "Dart", 89, 1, 4, 94
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_time_picker.dart", "Dart", 159, 31, 7, 197
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\my_search_bar.dart", "Dart", -44, -2, -3, -49
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\rating_venues.dart", "Dart", -44, 0, -3, -47
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_card.dart", "Dart", 172, 13, 8, 193
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_details_button.dart", "Dart", 50, 0, 4, 54
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_rating.dart", "Dart", 44, 0, 3, 47
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_search_bar.dart", "Dart", 46, 2, 3, 51
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\wedding_venue_card.dart", "Dart", -168, -13, -6, -187
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\cubits\wedding_venue_cubit.dart", "Dart", 7, 1, 5, 13
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\pages\wedding_venues_details_page.dart", "Dart", 144, 34, 25, 203
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\pages\wedding_venues_page.dart", "Dart", 2, 6, 6, 14
"Total", "-", 991, 176, 169, 1336
